#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic (desc)
10,fnuf.se,subdomains,185.39.136.53,,19,10570155,92,55,0,2,117,96,16,7983,7977,65,6,8,0,0,0,14,6,26
12,uli-geoforum.se,subdomains,35.228.51.171,,19,10664794,24,19,0,1,27,26,6,476,475,14,1,42,0,0,0,7,2,7
10,medicinteknikdagarna2019.se,subdomains,94.46.58.52,,19,10749151,22,17,0,0,18,15,9,57,51,2,6,4,0,0,0,0,6,1
27,brutalsimplicity.se,subdomains,188.114.228.83,,18,11062984,63,49,0,0,67,60,132,411,406,39,5,18,0,0,0,0,11,2
14,megchelen.nu,subdomains,185.135.252.82,,18,11097932,26,20,0,0,20,19,14,125,116,4,4,0,0,0,0,0,5,2
13,tryckeri-stockholm.nu,subdomains,35.228.119.231,,18,11273522,41,33,0,0,43,41,4,299,294,30,5,4,0,0,0,0,15,227
10,gratiswinkel.nu,subdomains,172.67.207.179,,18,11418094,137,112,0,0,142,123,9,1942,1931,145,0,67,11,0,0,0,0,0
15,maklaradresser.se,subdomains,94.46.8.15,,18,11447273,35,26,0,0,36,29,16,334,321,33,13,11,0,0,0,0,1,0
35,sllbiblioteken.se,subdomains,94.46.50.4,,18,11491247,27,15,0,2,40,34,1,109,97,18,12,8,0,0,0,7,5,0
60,dinasilviasystrar.se,subdomains,194.9.94.86,,18,11504482,10,10,0,0,10,10,3,19,19,0,0,6,0,0,0,0,0,0
38,fiskevatten.org,subdomains,,,18,11512961,23,18,0,1,21,16,1,99,99,21,0,6,0,0,0,9,0,0
40,calamusdesign.se,subdomains,,,17,11671220,7,3,0,0,9,9,0,10,10,4,0,1,0,0,0,0,0,0
7,falubsbandy.com/,subdomains,93.188.2.53,,18,11679689,114,91,0,0,125,107,37,9079,9061,68,18,170,0,0,0,0,1,0
4,advokatkalmar.nu,subdomains,35.228.53.67,,17,11750862,19,15,0,0,19,19,11,1361,1358,4,3,1278,0,0,0,0,68,78
12,www.enkopings-musikklubb.com,subdomains,93.188.2.53,,17,11759500,53,52,0,0,57,30,4,250,248,4,0,8,0,0,0,0,0,0
11,dpk.nu,subdomains,91.201.60.88,,17,11851316,202,150,0,2,175,158,38,37216,37185,388,31,18,0,0,0,5,2,7
6,deladvårdnad.nu,subdomains,35.228.53.67,,17,11946357,15,13,0,0,18,18,5,108,108,5,0,0,0,0,0,0,62,300
180,radonbesiktningstockholm.nu,subdomains,,,17,12239367,4,4,0,0,5,5,1,13,13,0,0,0,0,0,0,0,0,0
16,civilrättstockholm.se,subdomains,185.133.206.152,,17,12391316,19,17,0,0,17,14,2,22,22,2,0,0,0,0,0,0,16,1
17,archipel.nu,subdomains,192.165.9.166,,17,12409317,59,50,0,0,57,52,10,3398,3394,24,4,2,0,0,0,0,1,3
18,asbergveenhuis.se,subdomains,194.9.94.85,,17,12413850,6,4,0,0,5,5,3,642,642,2,0,0,0,0,0,0,0,0
70,fiskebodan.se,subdomains,194.9.94.85,,16,12951051,6,1,0,0,6,6,3,11,11,9,0,0,0,0,0,0,0,0
7,hotellfjällgården.se,subdomains,35.228.119.231,,16,12970030,14,14,0,0,15,14,2,51,51,0,0,0,0,0,0,0,16,81
19,selfcare.nu,subdomains,188.114.224.106,,16,13073871,99,50,0,3,108,95,11,464,460,220,4,8,0,0,0,13,0,0
23,flinkit.se,subdomains,34.88.238.81,,15,13488410,87,77,0,0,84,65,6,1168,1163,24,5,3,0,0,0,0,2,0
32,qvarnarp.com,subdomains,94.46.119.106,,15,13573903,57,46,0,0,95,62,3,1227,1226,26,0,3,0,0,0,0,0,0
136,onesystems.se,subdomains,194.9.94.85,,15,14149874,8,6,0,0,3,3,7,681,679,1,2,678,0,0,0,0,0,0
21,elinorsmaleri.se,subdomains,194.9.94.86,,15,14190178,5,4,0,0,5,5,4,15,15,1,0,0,0,0,0,0,0,0
7,autism-sodermanland.se,subdomains,185.196.36.17,,15,14243149,21,13,0,2,18,16,21,145,134,6,11,1,0,0,0,2,10,0
86,ssf-familjenotiser.se,subdomains,194.9.94.86,,15,14432617,5,5,0,1,8,4,1,78,77,0,1,0,0,0,0,1,0,0
19,swecll.se,subdomains,93.188.2.54,,15,14439166,31,19,0,2,47,39,30,429,413,12,15,4,0,0,0,17,3,0
20,mwillett.org,subdomains,185.39.138.245,,15,14562180,485,369,0,3,371,310,46,40487,40485,801,2,182,0,0,0,12,3,0
2,ramarstockholm.nu,subdomains,35.228.53.67,,15,14594195,26,22,0,0,26,26,9,84,84,6,0,10,0,0,0,0,34,126
12,migrationsrätt.nu,subdomains,194.9.94.86,,14,14770265,1,1,0,0,1,1,3,1,1,0,0,1,0,0,0,0,0,0
111,lpgbehandlingargavle.se,subdomains,194.9.94.86,,14,14791750,10,10,0,0,8,7,4,54,54,0,0,0,0,0,0,0,0,0
22,skargardsstadssegelsallskap.se,subdomains,185.163.18.251,,14,14950606,82,67,0,0,53,43,18,254,240,42,14,86,0,0,0,0,6,0
11,reklamfilmer.net,subdomains,91.201.60.88,,14,15570340,6,6,0,0,7,7,5,23,23,0,0,0,0,0,0,0,4,0
151,advy.se,subdomains,35.228.228.136,,14,15600895,70,67,0,0,53,42,9,522,516,11,6,6,0,0,0,0,0,0
8,vårdnadstviststockholm.se,subdomains,35.228.119.231,,14,15623662,11,10,0,0,12,12,6,47,47,1,0,0,0,0,0,0,15,7
92,ostermandesign.se,subdomains,194.9.94.85,,14,15631690,7,5,0,0,9,8,1,314,314,2,0,225,0,0,0,0,0,0
77,migrationsdagen.se,subdomains,194.9.94.85,,14,15669652,7,6,0,1,10,10,1,16,16,1,0,0,0,0,0,5,0,0
24,lions-kalmarunionen.se,subdomains,,,13,15959508,7,6,0,0,7,7,1,2106,2106,3,0,2074,0,0,0,0,0,0
25,fritidsgardarnathn.se,subdomains,94.46.60.149,,13,16119270,35,23,0,0,53,43,17,1197,1184,29,12,689,0,0,0,0,1,0
31,fastighetsservicelidkoping.se/,subdomains,,,13,16148904,9,9,0,0,9,9,5,73,73,0,0,0,0,0,0,0,0,0
31,add-online.co.uk,subdomains,,,13,16489979,5,3,0,0,4,4,1,115,115,1,0,0,0,0,0,0,0,0
26,cafestories.se,subdomains,94.46.55.57,,13,16709016,43,26,0,3,46,39,7,301,296,208,5,1,0,0,0,18,4,0
23,ytrost.nu,subdomains,185.133.206.152,,13,16717728,12,10,0,0,15,14,2,60,60,6,0,8,0,0,0,0,1,1
150,sociala-investeringar.se,subdomains,185.51.144.12,,12,16969380,3,3,0,0,3,3,1,9,9,0,0,0,0,0,0,0,0,0
12,starta-cafe.se,subdomains,35.228.74.13,,12,17026281,47,32,0,0,43,36,24,121,98,30,15,3,0,0,0,0,5,0
27,sökmotoroptimeringstockholm.nu,subdomains,185.133.206.152,,12,17029779,12,11,0,0,14,14,4,65,65,2,0,0,0,0,0,0,4,4
13,pme42.se,subdomains,188.114.96.2,,12,17400713,56,49,0,14,55,52,15,219,214,13,4,2,0,0,0,102,3,0
32,fastighetsvärmestockholm.se,subdomains,185.133.206.152,,12,17519253,4,4,0,0,6,6,5,26,26,0,0,0,0,0,0,0,5,3
41,antikbodenbobinen.se,subdomains,94.46.123.117,,12,17559647,8,5,0,0,32,21,1,114,111,6,3,4,0,0,0,0,2,8
37,promosalons.se,subdomains,94.46.115.225,,11,18198979,46,37,0,1,53,47,33,106,90,30,15,0,1,0,0,3,3,0
26,channelworld.se,subdomains,94.46.115.112,,11,18292110,56,23,1,0,43,41,15,2618,2595,90,23,6,0,0,4,0,4,1
19,hondenrassen.nu,subdomains,195.238.76.28,,11,18322360,69,49,0,0,62,60,62,604,589,29,15,30,0,0,0,0,18,4
28,sökmotoroptimeringgöteborg.se,subdomains,185.133.206.152,,11,18389442,10,9,0,0,11,11,4,40,40,5,0,0,0,0,0,0,5,4
50,edutibro.se,subdomains,94.46.252.98,,11,18489884,24,15,0,1,26,25,25,127,113,13,14,0,0,0,0,4,0,0
34,williamchand.com,subdomains,185.133.206.152,,11,18658500,8,6,0,0,10,9,38,43,43,2,0,0,0,0,0,0,3,0
42,fcafinans.se,subdomains,194.9.94.86,,11,18869225,2,2,0,0,11,9,1,19,19,0,0,8,0,0,0,0,0,0
28,traakademien.se,subdomains,82.102.3.8,,11,19003561,47,29,0,1,53,45,20,570,561,253,8,31,0,0,0,18,10,0
41,aktivitetergöteborg.nu,subdomains,185.133.206.152,,11,19074999,13,12,0,0,15,15,8,128,128,2,0,17,0,0,0,0,5,0
91,bygg-norrtalje.se,subdomains,194.9.94.86,,11,19111190,5,5,0,0,5,5,4,23,23,0,0,0,0,0,0,0,0,0
43,fishingposts.com,subdomains,94.46.9.33,,11,19263304,59,36,0,0,71,66,20,6985,6961,6199,15,38,1,0,0,0,1,0
178,swenture.se,subdomains,,,11,19291424,6,5,0,0,5,5,3,3374,3374,3355,0,11,0,0,0,0,0,0
10,radari2i.se,subdomains,,,11,19302239,39,30,0,0,43,36,1,221,211,11,10,1,0,0,0,0,1,0
48,gotrollhattangala.se,subdomains,82.102.3.55,,11,19410019,10,5,0,0,10,9,5,15,11,3,4,3,0,0,0,0,1,0
52,kreditkontoonline.se,subdomains,194.9.94.86,,11,19485690,8,8,0,0,1,1,18,78,78,0,0,0,0,0,0,0,0,0
13,försvarsadvokatstockholm.nu,subdomains,35.228.53.67,,11,19514208,11,7,0,0,13,13,1,54,54,6,0,0,0,0,0,0,27,23
14,resolution1960.se,subdomains,194.9.94.86,,10,19751016,4,3,0,0,4,4,3,11,11,2,0,0,0,0,0,0,0,0
29,svenskaktsnatverket.se,subdomains,35.228.93.53,,10,19777174,23,17,0,2,22,20,31,64,55,9,7,3,0,0,0,3,10,116
1,inramningstockholm.nu,subdomains,35.228.53.67,,10,19821948,23,18,0,0,26,26,10,87,84,15,3,14,0,0,0,0,48,152
42,psykologsvar.se,subdomains,194.9.94.86,,10,19888928,3,3,0,0,4,3,1,11,11,0,0,0,0,0,0,0,0,0
16,teaterhipphapp.se,subdomains,194.9.94.86,,10,19958530,2,2,0,0,3,2,3,6,6,0,0,0,0,0,0,0,0,0
24,juristsödermalm.se,subdomains,185.133.206.152,,10,19963101,6,6,0,0,9,8,5,90,90,0,0,0,0,0,0,0,14,0
47,trean.nu,subdomains,,,10,19968351,70,64,0,3,83,72,12,631,631,45,0,28,0,0,0,11,0,0
28,scoutsur.org,subdomains,34.88.6.96,,10,20076647,152,106,0,3,101,89,76,9225,9200,919,23,108,0,0,0,8,23,1
169,rullskidscupen.se,subdomains,194.9.94.85,,10,20159761,5,4,0,0,6,6,1,131,130,19,0,2,1,0,0,0,0,0
15,satinportal.se,subdomains,185.51.144.95,,10,20163096,12,8,0,1,16,13,8,27,24,2,3,0,0,0,0,4,0,0
71,stadshuslunden.se,subdomains,188.114.239.53,,10,20247212,20,14,0,1,34,27,13,95,94,0,7,0,0,0,0,1,0,0
181,schraubertalk.de,subdomains,,,10,20319770,12,9,0,1,11,11,0,23,23,6,0,6,0,0,0,1,0,0
30,godtanke.se,subdomains,194.9.94.85,,10,20678062,2,1,0,0,2,2,1,24,24,1,0,0,0,0,0,0,0,0
45,bricolistiska.se,subdomains,94.46.119.6,,10,20968688,6,4,0,0,9,8,8,205,203,1,2,1,0,0,0,0,3,0
3,transacmed.com,subdomains,93.188.2.51,,10,21058787,66,57,0,0,65,60,3,441,437,51,4,78,0,0,0,0,0,0
6,konstforeningen.nu,subdomains,,,9,21240298,44,28,0,0,59,45,12,1166,1147,28,19,8,0,0,0,0,20,2
37,ekobyn.nu,subdomains,,,10,21332976,18,16,0,0,16,15,63,117,117,3,0,13,0,0,0,0,0,0
20,aktiviteteruppsala.se,subdomains,185.133.206.152,,9,21348547,15,12,0,0,17,16,8,100,95,5,5,0,0,0,0,0,12,2
13,www.maklarkonsult.se/,subdomains,93.188.2.52,,10,21377134,12,8,0,0,11,10,4,130,128,12,0,2,0,0,0,0,2,0
34,uddevallaenergi.nu,subdomains,194.9.94.85,,9,21531659,5,3,0,0,21,19,3,53,53,2,0,0,0,0,0,0,0,0
31,goteborgsbilder.se,subdomains,35.228.93.53,,9,21554591,52,38,0,0,56,47,8,195,183,25,8,1,4,0,0,0,7,1
65,vattensakerhet2020.se,subdomains,194.9.94.86,,9,21623579,6,3,0,0,7,6,4,10,9,6,0,0,0,0,0,0,0,0
8,trafikskolagöteborg.nu,subdomains,185.133.206.152,,9,21795580,12,11,0,0,13,13,12,162,162,6,0,79,0,0,0,0,77,33
72,ncjt.se,subdomains,35.228.53.67,,9,21833376,7,7,0,0,10,10,5,15,15,0,0,0,0,0,0,0,0,0
49,skonamaj.se,subdomains,194.9.94.86,,9,21907291,9,9,0,0,12,7,1,58,58,0,0,0,0,0,0,0,0,0
17,stmaria.se,subdomains,94.46.124.66,,9,22030307,45,23,0,0,58,52,13,277,269,68,8,2,0,0,0,0,6,0
33,gefleboulecenter.se,subdomains,188.114.248.15,,9,22107111,28,20,0,0,32,27,5,71,66,15,5,2,0,0,0,0,1,0
33,tipsvinsten.se,subdomains,194.9.94.85,,9,22280047,4,3,0,0,3,3,1,60,60,1,0,0,0,0,0,0,0,0
192,ramsaygds.se,subdomains,185.41.88.29,,9,22341152,14,10,0,0,17,16,1,62,62,22,0,0,0,0,0,0,0,0
40,pelletsindustrin.org,subdomains,,,9,22582232,40,32,0,0,49,45,1,102,102,11,0,15,0,0,0,0,0,0
32,dvdavenue.tv,subdomains,195.238.76.28,,9,23280185,271,191,0,0,234,212,33,5089,5049,781,0,643,0,0,0,0,2,0
23,reklamkampanj.se/,subdomains,93.188.2.53,,9,23358660,4,3,0,0,4,4,2,19,19,2,0,4,0,0,0,0,3,0
17,nmis.se,subdomains,194.9.94.86,,9,23413185,3,3,0,1,2,2,3,5,5,0,0,0,0,0,0,1,0,0
76,fjallsjossk.se,subdomains,94.46.117.60,,9,23569270,17,13,0,0,16,15,14,46,41,4,5,0,0,0,0,0,0,0
50,ventilationmalmö.nu,subdomains,35.228.128.110,,8,23875456,12,9,0,0,14,14,2,74,74,13,0,0,0,0,0,0,0,0
12,bodelningstockholm.se,subdomains,35.228.119.231,,8,24045621,6,5,0,0,8,8,1,86,79,2,7,2,0,0,0,0,50,10
36,nicebird.se,subdomains,194.9.94.85,,8,24073460,22,19,0,0,21,19,1,46,46,9,0,16,0,0,0,0,0,0
31,panikprojektet.nu,subdomains,194.9.94.86,,8,24210940,17,14,0,0,35,29,10,786,785,3,0,3,0,0,0,0,0,0
19,codespark.se,subdomains,194.9.94.85,,8,24273533,5,3,0,0,6,6,1,8,8,2,0,0,0,0,0,0,0,0
173,parkerpneumatik.se,subdomains,194.9.94.86,,8,24409041,10,7,0,0,9,9,1,68,59,2,9,24,0,0,0,0,0,0
57,homeopatiakuten.se,subdomains,194.9.94.86,,8,24409499,15,13,0,0,16,14,5,58,58,5,0,9,0,0,0,0,0,0
38,netherlands-india.nu,subdomains,188.114.250.150,,8,24574760,40,32,1,0,42,40,0,345,340,25,5,217,0,0,13,0,0,0
12,esperantogarden.se,subdomains,35.228.62.219,,8,24605709,28,18,0,0,33,31,26,199,188,30,10,2,0,0,0,0,3,0
35,sökmotoroptimeringmalmö.se,subdomains,185.133.206.152,,8,24629415,6,6,0,0,7,7,2,29,29,0,0,0,0,0,0,0,5,0
54,aftergrey.se,subdomains,194.9.94.85,,8,24701950,6,4,0,0,7,7,2,9,9,3,0,0,0,0,0,0,0,0
31,torpainfo.se,subdomains,188.114.96.2,,8,24715516,24,18,0,0,44,37,18,2012,2006,5,6,299,0,0,0,0,2,0
18,shakinggeneration.se,subdomains,194.9.94.86,,8,24717870,7,5,0,0,11,10,3,1187,1187,3,0,0,0,0,0,0,0,0
36,multimorbidity2018-stockholm.se,subdomains,94.46.126.126,,8,24752501,36,28,0,5,31,27,19,93,87,8,6,0,0,0,0,17,3,0
39,valaget.se,subdomains,35.228.128.110,,8,24851590,10,6,0,0,13,11,3,153,153,17,0,19,0,0,0,0,0,0
170,lofsdalenevent.se,subdomains,194.9.94.85,,8,24932610,5,5,0,0,4,4,2,214,214,0,0,210,0,0,0,0,0,0
3,albackenssnickeri.se,subdomains,94.46.9.203,,8,24946923,41,30,0,0,37,34,26,1351,1319,18,32,1132,0,0,0,0,42,19
3,skvallerblogg.nu,subdomains,185.133.206.152,,8,25064118,12,6,0,0,17,15,4,64,59,32,5,0,0,0,0,0,11,370
20,henricks.se,subdomains,194.9.94.86,,8,25065613,9,5,0,0,9,9,1,29,29,5,0,0,0,0,0,0,0,0
61,qu-lang.org,subdomains,194.9.94.85,,8,25240096,12,10,0,0,28,28,1,97,93,2,4,19,0,0,0,0,0,0
44,southdublinastronomy.org,subdomains,91.201.60.88,,8,25328917,29,18,0,1,36,35,27,447,444,293,0,16,0,0,0,7,2,0
14,restaurangsnickeri.se,subdomains,185.133.206.152,,8,25364557,15,12,0,0,39,31,2,535,533,9,2,0,0,0,0,0,9,5
37,emeraldisleirishdanceschool.se,subdomains,185.163.17.252,,8,25406645,27,15,0,0,22,20,19,59,44,9,15,0,0,0,0,0,5,0
63,varmblodsklubbenmalmohus.se,subdomains,194.9.94.85,,8,25408795,12,8,0,0,19,14,1,1057,1057,9,0,0,0,0,0,0,0,0
145,vtconstruction.se,subdomains,194.9.94.86,,8,25603648,3,3,0,0,3,3,3,22,22,0,0,0,0,0,0,0,0,0
17,trafikflygare.se,subdomains,185.196.36.212,,8,25937273,10,7,0,0,11,10,8,136,132,1,4,49,0,0,0,0,1,4
41,indile.se,subdomains,194.9.94.86,,7,26088084,7,5,0,0,12,11,2,395,395,2,0,0,0,0,0,0,0,0
21,skrattgropen.se,subdomains,94.46.117.169,,7,26138713,16,10,0,0,16,13,0,66,55,11,5,10,0,0,0,0,1,0
88,landskapsarkitekturdagen.se,subdomains,194.9.94.85,,7,26167347,14,13,0,1,34,28,5,99,99,4,0,0,0,0,0,3,0,0
14,offentligförsvararestockholm.se,subdomains,35.228.53.67,,7,26226890,6,6,0,0,6,6,9,14,14,0,0,2,0,0,0,0,26,7
39,socialdemokraternaastorp.se,subdomains,194.9.94.85,,7,26470776,10,7,0,0,9,8,6,28,28,3,0,2,0,0,0,0,0,0
45,semig.nu,subdomains,194.9.94.86,,7,26776325,23,15,0,0,26,25,3,15597,15597,168,0,71,0,0,0,0,0,0
44,hyc.nu,subdomains,194.9.94.86,,7,26804862,30,27,1,0,52,44,4,215,202,15,13,7,0,0,3,0,0,0
79,hoffrekullabygata.se,subdomains,,,7,26886003,4,4,0,0,7,6,1,336,336,0,0,0,0,0,0,0,0,0
129,produktionssamordning.se,subdomains,194.9.94.85,,7,26922827,10,8,0,0,17,17,2,118,118,4,0,0,0,0,0,0,0,0
15,goteborgsbiodlarna.se,subdomains,104.21.10.35,,7,26970806,34,23,0,0,37,33,32,135,133,30,2,6,0,0,0,0,2,0
22,aktivitetermalmö.nu,subdomains,185.133.206.152,,7,27003607,11,10,0,0,12,12,8,105,105,4,0,17,0,0,0,0,14,1
8,socialdemokraternaiknivsta.se,subdomains,82.102.0.19,,7,27065181,24,19,0,0,32,25,18,346,340,4,6,18,0,0,0,0,2,0
43,affarskompetens.nu,subdomains,34.88.120.229,,7,27117562,18,15,0,1,21,18,27,123,120,4,3,5,0,0,0,60,1,0
5,canvastavlorstockholm.se,subdomains,35.228.53.67,,7,27294828,11,7,0,0,13,12,1,46,40,3,6,1,0,0,0,0,64,29
22,koehl.nu,subdomains,194.9.94.86,,7,27329561,10,8,0,0,8,8,1,38,38,3,0,7,0,0,0,0,0,0
56,sorbyoppgard.se,subdomains,194.9.94.85,,7,27408322,4,4,0,0,4,4,1,7,7,0,0,1,0,0,0,0,0,0
16,uppnex.se,subdomains,34.88.240.112,,7,27688270,41,10,0,2,51,42,12,317,316,125,1,2,0,0,0,8,3,0
4,varnhemscyklar.se,subdomains,34.88.221.65,,7,27740172,12,6,0,0,16,14,13,152,148,17,4,5,0,0,0,0,1,19
154,emmalena.se,subdomains,93.188.2.53,,7,27766629,33,31,0,1,31,26,2,51,51,2,0,0,0,0,0,4,0,0
194,mikaelskyrkan.nu,subdomains,194.9.94.86,,7,27780468,23,16,0,0,31,28,3,67,66,9,1,2,0,0,0,0,0,0
22,naprapatekerö.se,subdomains,35.228.53.67,,7,27952385,9,7,0,0,10,10,3,44,44,6,0,0,0,0,0,0,17,12
35,svenskwellpapp.se,subdomains,194.9.94.85,,7,28068694,3,2,0,0,4,4,2,13,13,2,0,0,0,0,0,0,0,0
195,blienergismart.se,subdomains,194.9.94.85,,7,28130911,33,31,0,0,41,32,1,128,128,4,0,0,0,0,0,0,0,0
21,nattradet.se,subdomains,,,7,28256216,5,5,0,0,6,6,1,162,162,0,0,153,0,0,0,0,0,0
159,andreasviberg.se,subdomains,35.228.53.67,,7,28287725,51,43,0,1,56,46,1,113,113,19,0,2,0,0,0,1,0,0
41,orion-research.se,subdomains,35.228.169.89,,7,28302749,33,28,0,1,36,30,16,111,105,9,6,0,0,0,0,1,6,0
42,saltsjon-yachts.se,subdomains,188.114.242.7,,7,28467673,33,23,0,0,46,41,10,170,166,15,4,7,0,0,0,0,7,0
40,kanalcafe.se,subdomains,,,7,28522046,2,2,0,0,4,4,0,6,6,0,0,2,0,0,0,0,0,0
85,scs2018.se,subdomains,,,6,28942914,8,7,0,2,10,10,1,49,49,1,0,0,0,0,0,7,0,0
20,orebrokings.se,subdomains,94.46.122.7,,6,28997328,20,17,0,0,37,27,25,2285,2283,5,2,125,0,0,0,0,2,0
50,seglingsgymnasiet.se,subdomains,194.9.94.86,,6,29138097,9,5,0,0,7,7,1,79,79,8,0,58,0,0,0,0,0,0
32,p-e.se,subdomains,185.39.136.69,,6,29771894,7,4,0,0,8,7,17,13,9,2,4,1,0,0,0,0,3,0
42,pappers143.se,subdomains,185.39.139.99,,6,29832922,25,18,0,1,28,25,11,394,390,26,4,327,0,0,0,1,2,0
14,sgsresa.nu,subdomains,93.188.2.51,,6,29931821,13,11,0,0,34,30,8,565,563,3,0,2,0,0,0,0,0,0
139,mäklaresödermalm.nu,subdomains,194.9.94.86,,6,30525127,11,11,0,0,13,13,1,52,52,0,0,1,0,0,0,0,0,0
24,esperantoinstitut.se,subdomains,35.228.62.219,,6,30530709,23,14,0,0,23,21,1,92,91,13,0,2,0,0,0,0,0,0
52,peacefulliving.se,subdomains,194.9.94.85,,6,30665693,4,3,0,0,4,4,4,39,27,0,12,0,0,0,0,0,0,0
47,spanishholidaysguide.com,subdomains,195.238.76.28,,6,30731765,48,44,0,0,41,32,21,672,668,5,4,24,0,0,0,0,1,0
83,31internetsolutions.com,subdomains,194.9.94.85,,6,30761351,4,3,0,0,4,4,3,71,71,2,0,0,0,0,0,0,0,0
50,ventawindows.se,subdomains,194.9.94.86,,6,30890737,2,1,0,0,2,2,4,31,31,1,0,0,0,0,0,0,0,0
13,byggvärme.se,subdomains,185.133.206.152,,6,31034595,6,5,0,0,9,9,7,146,146,1,0,0,0,0,0,0,20,9
23,advokatsödertälje.se,subdomains,35.228.53.67,,6,31120794,8,5,0,0,13,12,2,19,19,6,0,0,0,0,0,0,5,18
48,varmote2020.se,subdomains,34.88.203.0,,6,31212312,23,17,0,0,59,44,16,1173,1166,3,7,0,0,0,0,0,0,0
49,iphonereparation.net,subdomains,91.201.60.88,,6,31448574,12,10,0,0,13,13,4,635,635,5,0,4,0,0,0,0,29,1
25,omsjocamping.se,subdomains,,,6,31466529,25,20,0,0,27,26,2,90,90,24,0,1,0,0,0,0,0,0
99,vildsintrecords.se,subdomains,194.9.94.85,,6,31564933,12,6,0,0,13,11,19,26,23,4,0,0,0,0,0,0,0,0
51,yellowexpress.nu,subdomains,194.9.94.85,,6,31747924,11,10,0,0,12,12,1,75,75,0,0,0,0,0,0,0,0,0
197,krut.nu,subdomains,194.9.94.86,,6,31788209,5,4,0,0,4,4,3,14,14,1,0,0,0,0,0,0,0,0
44,tordenskjold.nu,subdomains,172.67.206.207,,6,31807952,15,8,0,0,14,14,16,56,53,9,3,2,0,0,0,0,1,0
39,northbusinessarena.se,subdomains,172.67.164.247,,6,31894012,21,12,0,0,21,19,26,64,60,27,4,5,0,0,0,0,2,0
46,glomdabarnen.se,subdomains,94.46.60.47,,6,31935490,19,15,0,0,31,25,3,263,257,1,6,1,0,0,0,0,2,8
166,digi3dskiftet.se,subdomains,,,6,31987168,8,8,0,2,8,8,23,26,26,0,0,2,0,0,0,3,0,0
26,mims-infectantibio.se,subdomains,194.9.94.86,,6,32037674,6,6,0,3,5,5,2,30,30,0,0,0,0,0,0,19,0,0
57,cconline.net,subdomains,185.163.16.221,,6,32100206,91,72,1,0,89,86,18,371,362,56,7,2,0,0,4,0,0,0
27,vasterkvarn.se,subdomains,188.114.236.4,,6,32117240,26,13,0,0,36,31,12,138,129,66,9,6,0,0,0,0,2,3
53,alltsammans.nu,subdomains,194.9.94.86,,6,32137514,2,2,0,1,3,3,4,13,13,0,0,0,0,0,0,11,0,0
189,kvibergsskytteforening.se,subdomains,194.9.94.86,,5,32194067,4,3,0,0,8,7,3,10,10,1,0,0,0,0,0,0,0,0
30,wildwoods.nu,subdomains,91.201.60.88,,5,32314459,11,11,0,0,10,9,16,108,108,0,0,12,0,0,0,0,7,1
96,vanersborgsdockmuseum.se,subdomains,194.9.94.85,,5,32314644,13,9,0,0,37,31,3,269,269,177,0,0,0,0,0,0,0,0
55,felixketchup.nu,subdomains,194.9.94.86,,5,32441750,3,2,0,0,4,3,1,12,12,10,0,0,0,0,0,0,0,0
54,worldvaluesinitiative.se,subdomains,34.88.30.186,,5,32476762,9,6,0,0,9,9,11,32,31,6,1,6,0,0,0,0,1,11
94,10000luncher.se,subdomains,194.9.94.85,,5,32569366,2,2,0,0,2,2,3,7,7,0,0,0,0,0,0,0,0,0
28,disekulla.se,subdomains,194.9.94.86,,5,32826708,20,19,0,0,24,20,4,354,354,10,0,2,0,0,0,0,0,0
88,lundgrensror.se,subdomains,194.9.94.85,,5,32900045,6,5,0,0,7,7,3,82,82,2,0,70,0,0,0,0,0,0
32,måleristockholm.com,subdomains,185.133.206.152,,5,33035152,6,6,0,0,6,6,0,9,9,0,0,1,0,0,0,0,0,0
29,kyrkanstrygghetsrad.se,subdomains,194.9.94.86,,5,33164509,5,5,0,0,5,5,2,9,9,0,0,0,0,0,0,0,0,0
16,sm2019.se,subdomains,185.163.17.50,,5,33299721,20,13,0,0,19,18,33,41,34,11,7,3,0,0,0,0,9,4
165,hemavanswardshus.se,subdomains,194.9.94.86,,5,33343628,11,9,0,0,19,17,3,40,40,5,0,13,0,0,0,0,0,0
38,energa-finance.se,subdomains,194.9.94.86,,5,33379199,4,3,0,0,4,4,3,8,8,1,0,0,0,0,0,0,0,0
150,fastfeedback.se,subdomains,194.9.94.86,,5,33407265,5,5,0,0,5,5,1,13,13,0,0,1,0,0,0,0,0,0
31,videocenter.se,subdomains,35.228.93.53,,5,33589362,9,3,0,1,12,11,12,77,68,17,3,0,6,0,0,31,0,0
71,skefor.se,subdomains,194.9.94.86,,5,33664443,6,2,0,0,5,5,22,12,7,4,5,2,0,0,0,0,0,0
46,libra.nu,subdomains,91.201.60.88,,5,33951684,73,47,1,0,73,67,79,1670,1661,96,9,12,0,0,1,0,1,0
33,fonsterantiken.nu,subdomains,194.9.94.85,,4.9,34100905,57,42,0,0,91,71,4,2952,2952,533,0,1,0,0,0,0,0,0
28,stationnord.se/,subdomains,,,5,34200459,24,21,0,0,34,31,9,249,249,78,0,60,0,0,0,0,0,0
