Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2024-06-30 18:33:56,2024-06-30 18:33:56,Exchange to SEK,113.37,1.13,SEK,COMPLETED,112.24
TOPUP,Current,2024-06-30 20:46:14,2024-06-30 20:47:01,Top-Up by *7097,1500.00,0.00,SEK,COMPLETED,1612.24
TOPUP,Current,2024-06-30 23:14:44,2024-06-30 23:14:47,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,2612.24
EXCHANGE,Current,2024-06-30 23:14:55,2024-06-30 23:14:55,Exchange to EUR,-1708.25,0.00,SEK,COMPLETED,903.99
TOPUP,Current,2024-07-01 01:39:30,2024-07-01 01:39:33,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1903.99
EXCHANGE,Current,2024-07-01 01:39:44,2024-07-01 01:39:44,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,903.99
EXCHANGE,Current,2024-07-01 03:44:12,2024-07-01 03:44:12,Exchange to SEK,3000.00,0.00,SEK,COMPLETED,3903.99
TRANSFER,Current,2024-07-01 03:44:57,2024-07-01 03:44:58,Transfer to Revolut user,-3000.00,0.00,SEK,COMPLETED,903.99
CARD_PAYMENT,Current,2024-06-30 22:40:02,2024-07-01 14:09:53,Mm S.l.,-91.08,0.91,SEK,COMPLETED,812.00
CARD_PAYMENT,Current,2024-06-30 18:34:24,2024-07-01 18:18:58,bet365,-112.00,0.00,SEK,COMPLETED,700.00
CARD_PAYMENT,Current,2024-06-30 21:02:32,2024-07-01 19:15:32,bet365,-500.00,0.00,SEK,COMPLETED,200.00
CARD_PAYMENT,Current,2024-06-30 21:18:47,2024-07-01 19:15:49,bet365,-200.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-05 14:45:54,2024-07-05 14:45:58,Top-Up by *7097,214.00,0.00,SEK,COMPLETED,214.00
EXCHANGE,Current,2024-07-05 14:46:10,2024-07-05 14:46:10,Exchange to EUR,-214.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-06 22:15:34,2024-07-06 22:15:37,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-07-06 22:15:46,2024-07-06 22:15:46,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-11 17:17:46,2024-07-11 17:17:50,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-07-11 17:17:57,2024-07-11 17:18:01,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,2000.00
EXCHANGE,Current,2024-07-11 17:18:09,2024-07-11 17:18:09,Exchange to EUR,-2000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-11 17:18:17,2024-07-11 17:18:20,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-07-11 17:18:39,2024-07-11 17:18:39,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-11 17:19:00,2024-07-11 17:19:16,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-07-11 17:19:23,2024-07-11 17:19:23,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-11 17:32:16,2024-07-11 17:32:42,Top-Up by *7097,548.00,0.00,SEK,COMPLETED,548.00
EXCHANGE,Current,2024-07-11 17:33:07,2024-07-11 17:33:07,Exchange to EUR,-548.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-12 19:03:37,2024-07-12 19:03:42,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-07-12 19:03:55,2024-07-12 19:03:59,Top-Up by *7097,700.00,0.00,SEK,COMPLETED,1700.00
EXCHANGE,Current,2024-07-12 19:04:14,2024-07-12 19:04:14,Exchange to EUR,-1700.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-14 02:48:24,2024-07-14 02:48:27,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-07-14 02:49:53,2024-07-14 02:50:17,Top-Up by *7097,600.00,0.00,SEK,COMPLETED,1600.00
EXCHANGE,Current,2024-07-14 02:50:28,2024-07-14 02:50:28,Exchange to EUR,-1600.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-19 12:32:24,2024-07-19 12:32:27,Top-Up by *7097,141.00,0.00,SEK,COMPLETED,141.00
EXCHANGE,Current,2024-07-19 12:32:34,2024-07-19 12:32:34,Exchange to EUR,-141.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-23 01:46:16,2024-07-23 01:46:22,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-07-23 01:47:44,2024-07-23 01:47:47,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-07-23 01:47:53,2024-07-23 01:47:56,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,3000.00
TOPUP,Current,2024-07-23 01:48:04,2024-07-23 01:48:21,Top-Up by *7097,700.00,0.00,SEK,COMPLETED,3700.00
EXCHANGE,Current,2024-07-23 02:53:40,2024-07-23 02:53:40,Exchange to EUR,-2661.35,0.00,SEK,COMPLETED,1038.65
ATM,Current,2024-07-23 01:55:53,2024-07-23 14:23:28,Cash at 121000791,-854.96,0.00,SEK,COMPLETED,183.69
CARD_PAYMENT,Current,2024-07-23 02:30:53,2024-07-24 10:33:07,Uber,-91.44,0.00,SEK,COMPLETED,92.25
CARD_PAYMENT,Current,2024-07-23 02:24:57,2024-07-24 12:16:39,Uber,-93.78,0.00,SEK,COMPLETED,-1.53
EXCHANGE,Current,2024-07-24 12:59:49,2024-07-24 12:59:49,Exchange to SEK,1.63,0.00,SEK,COMPLETED,0.10
TOPUP,Current,2024-07-25 21:19:26,2024-07-25 21:19:46,Top-Up by *7097,1625.00,0.00,SEK,COMPLETED,1625.10
EXCHANGE,Current,2024-07-25 21:19:57,2024-07-25 21:19:57,Exchange to EUR,-1625.10,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-26 15:39:52,2024-07-26 15:40:13,Top-Up by *7097,1400.00,0.00,SEK,COMPLETED,1400.00
EXCHANGE,Current,2024-07-26 15:40:22,2024-07-26 15:40:22,Exchange to EUR,-1400.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-07-27 00:15:21,2024-07-27 00:15:23,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-07-27 00:24:18,2024-07-27 00:24:18,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-01 08:05:41,2024-08-01 08:06:00,Top-Up by *7097,2000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-08-01 08:06:07,2024-08-01 08:06:23,Top-Up by *7097,2000.00,0.00,SEK,COMPLETED,4000.00
TOPUP,Current,2024-08-01 08:06:48,2024-08-01 08:07:06,Top-Up by *7097,1500.00,0.00,SEK,COMPLETED,5500.00
EXCHANGE,Current,2024-08-01 08:07:15,2024-08-01 08:07:15,Exchange to EUR,-5500.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-01 08:27:34,2024-08-01 08:27:56,Top-Up by *7097,169.99,0.00,SEK,COMPLETED,169.99
FEE,Current,2024-08-01 08:28:00,2024-08-01 08:28:00,Metal plan fee,-169.99,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-08-01 08:31:45,2024-08-01 08:31:45,Exchange to SEK,5253.90,0.00,SEK,COMPLETED,5253.90
EXCHANGE,Current,2024-08-01 08:58:48,2024-08-01 08:58:48,Exchange to EUR,-5253.90,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-04 13:16:11,2024-08-04 13:16:13,Apple Pay Top-Up by *0722,475.00,0.00,SEK,COMPLETED,475.00
EXCHANGE,Current,2024-08-04 13:16:29,2024-08-04 13:16:29,Exchange to EUR,-475.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-07 13:06:01,2024-08-07 13:06:03,Apple Pay Top-Up by *0722,371.00,0.00,SEK,COMPLETED,371.00
EXCHANGE,Current,2024-08-07 13:06:14,2024-08-07 13:06:14,Exchange to EUR,-371.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-09 22:23:52,2024-08-09 22:23:53,Apple Pay Top-Up by *0722,1621.00,0.00,SEK,COMPLETED,1621.00
EXCHANGE,Current,2024-08-09 22:24:04,2024-08-09 22:24:04,Exchange to EUR,-1621.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-10 03:05:06,2024-08-10 03:05:24,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-08-10 03:05:49,2024-08-10 03:05:50,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-08-10 03:06:16,2024-08-10 03:06:18,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,3000.00
TOPUP,Current,2024-08-10 03:06:32,2024-08-10 03:06:34,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,4000.00
TOPUP,Current,2024-08-10 03:06:51,2024-08-10 03:06:52,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,5000.00
EXCHANGE,Current,2024-08-10 03:07:04,2024-08-10 03:07:04,Exchange to EUR,-5000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-10 03:10:00,2024-08-10 03:10:02,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-08-10 03:10:10,2024-08-10 03:10:10,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-13 22:28:00,2024-08-13 22:28:02,Apple Pay Top-Up by *0722,811.00,0.00,SEK,COMPLETED,811.00
EXCHANGE,Current,2024-08-13 22:28:14,2024-08-13 22:28:14,Exchange to EUR,-811.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-14 01:12:44,2024-08-14 01:12:46,Apple Pay Top-Up by *0722,1500.00,0.00,SEK,COMPLETED,1500.00
EXCHANGE,Current,2024-08-14 01:12:57,2024-08-14 01:12:57,Exchange to EUR,-1500.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-14 03:48:39,2024-08-14 03:48:41,Apple Pay Top-Up by *0722,1897.00,0.00,SEK,COMPLETED,1897.00
EXCHANGE,Current,2024-08-14 03:48:52,2024-08-14 03:48:52,Exchange to EUR,-1897.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-14 05:07:35,2024-08-14 05:07:36,Apple Pay Top-Up by *0722,230.00,0.00,SEK,COMPLETED,230.00
EXCHANGE,Current,2024-08-14 05:07:49,2024-08-14 05:07:49,Exchange to EUR,-230.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-16 21:45:58,2024-08-16 21:46:00,Apple Pay Top-Up by *0722,798.00,0.00,SEK,COMPLETED,798.00
EXCHANGE,Current,2024-08-16 21:46:09,2024-08-16 21:46:09,Exchange to EUR,-798.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-16 21:47:51,2024-08-16 21:47:52,Apple Pay Top-Up by *0722,120.00,0.00,SEK,COMPLETED,120.00
EXCHANGE,Current,2024-08-16 21:48:01,2024-08-16 21:48:01,Exchange to EUR,-120.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-17 03:19:52,2024-08-17 03:19:54,Apple Pay Top-Up by *0722,2000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-08-17 03:20:30,2024-08-17 03:20:31,Apple Pay Top-Up by *0722,1250.00,0.00,SEK,COMPLETED,3250.00
EXCHANGE,Current,2024-08-17 03:20:54,2024-08-17 03:20:54,Exchange to EUR,-3250.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-23 03:27:05,2024-08-23 03:27:07,Apple Pay Top-Up by *0722,2000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-08-23 03:27:25,2024-08-23 03:27:27,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,3000.00
EXCHANGE,Current,2024-08-23 03:27:37,2024-08-23 03:27:37,Exchange to EUR,-3000.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-08-23 09:23:11,2024-08-23 09:23:11,Exchange to SEK,6010.80,0.00,SEK,COMPLETED,6010.80
TRANSFER,Current,2024-08-23 12:23:33,2024-08-23 12:23:33,Transfer to Revolut user,-6010.00,0.00,SEK,COMPLETED,0.80
TOPUP,Current,2024-08-25 03:37:27,2024-08-25 03:37:29,Apple Pay Top-Up by *0722,300.00,0.00,SEK,COMPLETED,300.80
EXCHANGE,Current,2024-08-25 03:37:45,2024-08-25 03:37:45,Exchange to EUR,-300.80,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-25 04:29:53,2024-08-25 04:29:54,Apple Pay Top-Up by *0722,2000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-08-25 04:30:17,2024-08-25 04:30:18,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,3000.00
EXCHANGE,Current,2024-08-25 04:30:33,2024-08-25 04:30:33,Exchange to EUR,-3000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-25 04:31:56,2024-08-25 04:31:58,Apple Pay Top-Up by *0722,2000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-08-25 04:32:22,2024-08-25 04:32:23,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,3000.00
EXCHANGE,Current,2024-08-25 04:32:36,2024-08-25 04:32:36,Exchange to EUR,-3000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-25 05:07:11,2024-08-25 05:07:14,Apple Pay Top-Up by *0722,150.00,0.00,SEK,COMPLETED,150.00
EXCHANGE,Current,2024-08-25 05:07:25,2024-08-25 05:07:25,Exchange to EUR,-150.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-28 14:28:45,2024-08-28 14:28:47,Apple Pay Top-Up by *0722,1021.00,0.00,SEK,COMPLETED,1021.00
EXCHANGE,Current,2024-08-28 14:30:22,2024-08-28 14:30:22,Exchange to EUR,-1021.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-28 18:10:50,2024-08-28 18:10:52,Apple Pay Top-Up by *0722,420.00,0.00,SEK,COMPLETED,420.00
EXCHANGE,Current,2024-08-29 04:23:29,2024-08-29 04:23:29,Exchange to EUR,-420.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-08-30 01:11:39,2024-08-30 01:11:41,Apple Pay Top-Up by *0722,1500.00,0.00,SEK,COMPLETED,1500.00
TOPUP,Current,2024-08-30 01:14:15,2024-08-30 01:14:18,Apple Pay Top-Up by *0722,500.00,0.00,SEK,COMPLETED,2000.00
EXCHANGE,Current,2024-08-30 01:14:56,2024-08-30 01:14:56,Exchange to EUR,-2000.00,0.00,SEK,COMPLETED,0.00
FEE,Current,2024-09-01 02:25:59,2024-09-01 02:25:59,Metal plan fee,-169.99,0.00,SEK,COMPLETED,-169.99
EXCHANGE,Current,2024-09-01 02:31:00,2024-09-01 02:31:00,Exchange to SEK,0.90,0.00,SEK,COMPLETED,-169.09
TOPUP,Current,2024-09-09 11:38:50,2024-09-09 11:38:53,Auto Top-Up by *7097,169.09,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-09-11 10:52:30,2024-09-11 10:52:32,Apple Pay Top-Up by *0722,349.00,0.00,SEK,COMPLETED,349.00
CARD_PAYMENT,Current,2024-09-12 13:16:48,2024-09-13 14:54:37,il Mafioso Pizzeria 🇮🇹 Pasteria,-135.00,0.00,SEK,COMPLETED,214.00
CARD_PAYMENT,Current,2024-09-13 13:30:59,2024-09-14 11:38:21,Pressbyrån,-26.00,0.00,SEK,COMPLETED,188.00
CARD_PAYMENT,Current,2024-09-13 20:59:15,2024-09-14 11:38:38,Alby Bilecen Kiosk Han,-50.00,0.00,SEK,COMPLETED,138.00
CARD_PAYMENT,Current,2024-09-13 17:57:44,2024-09-14 11:38:43,Tingstorget Bageri,-26.00,0.00,SEK,COMPLETED,112.00
EXCHANGE,Current,2024-09-15 13:09:08,2024-09-15 13:09:08,Exchange to EUR,-112.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-09-17 13:55:45,2024-09-17 13:55:47,Apple Pay Top-Up by *0722,694.00,0.00,SEK,COMPLETED,694.00
EXCHANGE,Current,2024-09-17 16:34:33,2024-09-17 16:34:33,Exchange to EUR,-644.00,0.00,SEK,COMPLETED,50.00
CARD_PAYMENT,Current,2024-09-17 15:41:10,2024-09-18 12:20:06,Pressbyrån,-50.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-09-19 11:52:59,2024-09-19 11:53:00,Apple Pay Top-Up by *3659,131.00,0.00,SEK,COMPLETED,131.00
EXCHANGE,Current,2024-09-19 11:53:28,2024-09-19 11:53:28,Exchange to SEK,315.35,0.00,SEK,COMPLETED,446.35
CARD_PAYMENT,Current,2024-09-19 11:59:51,2024-09-20 13:04:01,Alby Bilecen Kiosk Han,-50.00,0.00,SEK,COMPLETED,396.35
CARD_PAYMENT,Current,2024-09-19 11:58:38,2024-09-21 13:41:57,il Mafioso Pizzeria 🇮🇹 Pasteria,-130.00,0.00,SEK,COMPLETED,266.35
TOPUP,Current,2024-09-22 08:51:42,2024-09-22 08:51:44,Apple Pay Top-Up by *0722,1000.00,0.00,SEK,COMPLETED,1266.35
TOPUP,Current,2024-09-22 08:52:56,2024-09-22 08:52:58,Apple Pay Top-Up by *0722,734.00,0.00,SEK,COMPLETED,2000.35
CARD_PAYMENT,Current,2024-09-22 02:49:09,2024-09-22 15:08:20,SL,-42.00,0.00,SEK,COMPLETED,1958.35
CARD_PAYMENT,Current,2024-09-22 19:06:41,2024-09-23 11:16:29,WHSmith,-39.00,0.00,SEK,COMPLETED,1919.35
EXCHANGE,Current,2024-09-23 13:28:31,2024-09-23 13:28:31,Exchange to EUR,-997.81,0.00,SEK,COMPLETED,921.54
CARD_PAYMENT,Current,2024-09-22 18:04:07,2024-09-23 14:59:34,Bolt,-397.00,0.00,SEK,COMPLETED,524.54
TOPUP,Current,2024-09-23 19:50:09,2024-09-23 19:50:11,Apple Pay Top-Up by *0722,288.00,0.00,SEK,COMPLETED,812.54
EXCHANGE,Current,2024-09-23 19:50:24,2024-09-23 19:50:24,Exchange to EUR,-288.00,0.00,SEK,COMPLETED,524.54
CARD_PAYMENT,Current,2024-09-23 00:18:32,2024-09-24 10:50:04,Taxi 4132,-279.61,0.00,SEK,COMPLETED,244.93
CARD_PAYMENT,Current,2024-09-23 09:02:40,2024-09-24 10:50:56,El Corte Inglés,-16.86,0.00,SEK,COMPLETED,228.07
CARD_PAYMENT,Current,2024-09-23 12:30:08,2024-09-24 12:32:39,Panineria,-193.86,0.00,SEK,COMPLETED,34.21
CARD_PAYMENT,Current,2024-09-23 12:33:13,2024-09-24 12:33:26,Panineria,-34.21,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-09-26 16:22:17,2024-09-26 16:22:19,Apple Pay Top-Up by *3659,144.00,0.00,SEK,COMPLETED,144.00
EXCHANGE,Current,2024-09-26 16:22:28,2024-09-26 16:22:28,Exchange to EUR,-144.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-09-27 16:22:18,2024-09-27 16:23:02,Top-Up by *7097,1500.00,0.00,SEK,COMPLETED,1500.00
TRANSFER,Current,2024-09-27 16:34:16,2024-09-27 16:34:16,"Revolut Bank UAB, Sucursal en España",-1500.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-09-29 13:55:40,2024-09-29 13:56:03,Top-Up by *7097,392.00,0.00,SEK,COMPLETED,392.00
EXCHANGE,Current,2024-09-29 13:56:15,2024-09-29 13:56:15,Exchange to EUR,-392.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-10-04 11:57:51,2024-10-04 11:57:53,Apple Pay Top-Up by *0722,912.00,0.00,SEK,COMPLETED,912.00
EXCHANGE,Current,2024-10-04 12:03:03,2024-10-04 12:03:03,Exchange to EUR,-912.00,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-10-07 23:28:37,2024-10-07 23:28:37,Transfer from Revolut user,80.00,0.00,SEK,COMPLETED,80.00
EXCHANGE,Current,2024-10-07 23:40:01,2024-10-07 23:40:01,Exchange to EUR,-80.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-10-08 00:08:46,2024-10-08 00:08:48,Apple Pay Top-Up by *0722,131.38,0.00,SEK,COMPLETED,131.38
EXCHANGE,Current,2024-10-08 00:09:01,2024-10-08 00:09:01,Exchange to EUR,-131.38,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-10-08 00:19:59,2024-10-08 00:19:59,Exchange to SEK,91.01,0.00,SEK,COMPLETED,91.01
TRANSFER,Current,2024-10-08 00:20:20,2024-10-08 00:20:20,Transfer to Revolut user,-80.00,0.00,SEK,COMPLETED,11.01
EXCHANGE,Current,2024-10-09 14:47:35,2024-10-09 14:47:35,Exchange to EUR,-11.01,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-10-15 14:50:04,2024-10-15 14:50:06,Apple Pay Top-Up by *3659,2000.00,0.00,SEK,COMPLETED,2000.00
TOPUP,Current,2024-10-15 14:50:22,2024-10-15 14:50:24,Apple Pay Top-Up by *3659,2000.00,0.00,SEK,COMPLETED,4000.00
TOPUP,Current,2024-10-15 14:51:02,2024-10-15 14:51:04,Apple Pay Top-Up by *3659,2497.00,0.00,SEK,COMPLETED,6497.00
EXCHANGE,Current,2024-10-15 14:51:14,2024-10-15 14:51:14,Exchange to EUR,-6497.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-10-26 09:16:17,2024-10-26 09:16:19,Apple Pay Top-Up by *0722,218.00,0.00,SEK,COMPLETED,218.00
EXCHANGE,Current,2024-10-26 09:17:45,2024-10-26 09:17:45,Exchange to EUR,-218.00,0.00,SEK,COMPLETED,0.00
FEE,Current,2024-11-01 01:46:57,2024-11-01 01:46:57,Metal plan fee,-169.99,0.00,SEK,COMPLETED,-169.99
EXCHANGE,Current,2024-11-01 01:52:03,2024-11-01 01:52:03,Exchange to SEK,8.56,0.00,SEK,COMPLETED,-161.43
EXCHANGE,Current,2024-11-01 01:54:56,2024-11-01 01:54:56,Exchange to SEK,115.69,0.00,SEK,COMPLETED,-45.74
EXCHANGE,Current,2024-11-01 01:55:53,2024-11-01 01:55:53,Exchange to SEK,34.70,0.00,SEK,COMPLETED,-11.04
EXCHANGE,Current,2024-11-01 01:59:06,2024-11-01 01:59:06,Exchange to SEK,10.99,0.00,SEK,COMPLETED,-0.05
TOPUP,Current,2024-11-02 15:32:22,2024-11-02 15:32:24,Apple Pay Top-Up by *0722,232.00,0.00,SEK,COMPLETED,231.95
EXCHANGE,Current,2024-11-02 15:32:47,2024-11-02 15:32:47,Exchange to EUR,-231.95,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-11-09 12:29:05,2024-11-09 12:29:07,Apple Pay Top-Up by *3659,1500.00,0.00,SEK,COMPLETED,1500.00
TOPUP,Current,2024-11-09 12:31:16,2024-11-09 12:31:17,Apple Pay Top-Up by *3659,500.00,0.00,SEK,COMPLETED,2000.00
EXCHANGE,Current,2024-11-09 12:54:49,2024-11-09 12:54:49,Exchange to EUR,-2000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-11-14 15:11:04,2024-11-14 15:11:07,Top-Up by *7097,1880.00,0.00,SEK,COMPLETED,1880.00
EXCHANGE,Current,2024-11-14 15:11:16,2024-11-14 15:11:16,Exchange to EUR,-1880.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-11-16 01:50:36,2024-11-16 01:50:38,Apple Pay Top-Up by *3659,600.00,0.00,SEK,COMPLETED,600.00
EXCHANGE,Current,2024-11-16 01:50:55,2024-11-16 01:50:55,Exchange to EUR,-600.00,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-11-17 17:09:48,2024-11-17 17:09:48,Transfer from Revolut user,301.00,0.00,SEK,COMPLETED,301.00
EXCHANGE,Current,2024-11-18 10:26:44,2024-11-18 10:26:44,Exchange to EUR,-301.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-11-23 14:19:18,2024-11-23 14:19:20,Apple Pay Top-Up by *0722,152.00,0.00,SEK,COMPLETED,152.00
EXCHANGE,Current,2024-11-24 13:09:42,2024-11-24 13:09:42,Exchange to EUR,-52.00,0.00,SEK,COMPLETED,100.00
CARD_PAYMENT,Current,2024-11-23 14:19:47,2024-11-24 15:32:24,bet365,-100.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-11-25 15:48:48,2024-11-25 15:48:49,Apple Pay Top-Up by *3659,500.00,0.00,SEK,COMPLETED,500.00
EXCHANGE,Current,2024-11-25 15:49:03,2024-11-25 15:49:03,Exchange to EUR,-500.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-11-28 10:33:27,2024-11-28 10:33:29,Apple Pay Top-Up by *0722,1794.00,0.00,SEK,COMPLETED,1794.00
EXCHANGE,Current,2024-11-28 10:33:42,2024-11-28 10:33:42,Exchange to EUR,-1794.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-11-29 19:08:23,2024-11-29 19:08:24,Apple Pay Top-Up by *0722,1713.00,0.00,SEK,COMPLETED,1713.00
EXCHANGE,Current,2024-11-29 19:08:58,2024-11-29 19:08:58,Exchange to EUR,-313.00,0.00,SEK,COMPLETED,1400.00
EXCHANGE,Current,2024-11-29 19:14:38,2024-11-29 19:14:38,Exchange to SEK,100.00,0.00,SEK,COMPLETED,1500.00
FEE,Current,2024-12-01 02:57:45,2024-12-01 02:57:45,Metal plan fee,-169.99,0.00,SEK,COMPLETED,1330.01
CARD_PAYMENT,Current,2024-11-30 13:06:43,2024-12-01 13:50:38,Enco,-167.68,1.68,SEK,COMPLETED,1160.65
EXCHANGE,Current,2024-12-01 14:30:04,2024-12-01 14:30:04,Exchange to SEK,50.35,0.50,SEK,COMPLETED,1210.50
CARD_PAYMENT,Current,2024-11-30 10:13:26,2024-12-01 16:23:22,Adobe,-395.00,0.00,SEK,COMPLETED,815.50
CARD_PAYMENT,Current,2024-12-01 11:59:24,2024-12-02 13:43:38,El Corte Inglés,-121.40,1.21,SEK,COMPLETED,692.89
CARD_PAYMENT,Current,2024-12-01 12:03:35,2024-12-02 13:43:58,El Corte Inglés,-59.78,0.60,SEK,COMPLETED,632.51
TRANSFER,Current,2024-12-02 10:20:40,2024-12-02 15:40:26,International Transfer,-132.00,0.00,SEK,COMPLETED,500.51
CARD_PAYMENT,Current,2024-12-01 13:52:56,2024-12-02 16:30:51,bet365,-500.00,0.00,SEK,COMPLETED,0.51
TOPUP,Current,2024-12-03 11:58:18,2024-12-03 11:58:19,Apple Pay Top-Up by *3659,300.00,0.00,SEK,COMPLETED,300.51
EXCHANGE,Current,2024-12-03 11:58:38,2024-12-03 11:58:38,Exchange to EUR,-300.51,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-12-04 10:51:54,2024-12-04 10:51:55,Apple Pay Top-Up by *3659,443.00,0.00,SEK,COMPLETED,443.00
EXCHANGE,Current,2024-12-04 20:23:39,2024-12-04 20:23:39,Exchange to EUR,-98.05,0.00,SEK,COMPLETED,344.95
