Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2024-02-08 10:31:56,2024-02-08 10:31:58,Top-Up by *7097,365.00,0.00,SEK,COMPLETED,365.00
EXCHANGE,Current,2024-02-08 10:32:24,2024-02-08 10:32:24,Exchange to EUR,-365.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-02-18 10:46:06,2024-02-18 10:46:14,Top-Up by *7097,200.00,0.00,SEK,COMPLETED,200.00
EXCHANGE,Current,2024-02-18 10:46:37,2024-02-18 10:46:37,Exchange to EUR,-200.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-02-18 18:13:27,2024-02-18 18:13:30,Top-Up by *7097,900.00,0.00,SEK,COMPLETED,900.00
EXCHANGE,Current,2024-02-18 18:13:41,2024-02-18 18:13:41,Exchange to EUR,-900.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-02-18 22:43:01,2024-02-18 22:43:06,Top-Up by *7097,600.00,0.00,SEK,COMPLETED,600.00
EXCHANGE,Current,2024-02-18 22:43:18,2024-02-18 22:43:18,Exchange to EUR,-600.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-02-20 08:45:41,2024-02-20 08:45:44,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-02-20 08:45:51,2024-02-20 08:45:51,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-02-23 16:26:04,2024-02-23 16:26:10,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-02-23 16:26:20,2024-02-23 16:26:20,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-02-24 23:37:54,2024-02-24 23:37:54,Exchange to SEK,95.48,0.95,SEK,COMPLETED,94.53
CARD_PAYMENT,Current,2024-02-24 23:38:22,2024-02-25 15:57:50,Svenska Spel Sport & Casino,-94.00,0.00,SEK,COMPLETED,0.53
TOPUP,Current,2024-02-29 15:16:10,2024-02-29 15:16:33,Top-Up by *7097,1467.00,0.00,SEK,COMPLETED,1467.53
EXCHANGE,Current,2024-02-29 15:16:47,2024-02-29 15:16:47,Exchange to EUR,-1467.53,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-03-09 12:25:26,2024-03-09 12:25:30,Top-Up by *7097,204.00,0.00,SEK,COMPLETED,204.00
EXCHANGE,Current,2024-03-09 12:25:48,2024-03-09 12:25:48,Exchange to EUR,-204.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-03-12 07:45:31,2024-03-12 07:45:31,Exchange to SEK,35.00,0.00,SEK,COMPLETED,35.00
TOPUP,Current,2024-03-12 14:22:43,2024-03-12 14:22:45,Top-Up by *7097,183.00,0.00,SEK,COMPLETED,218.00
EXCHANGE,Current,2024-03-12 14:22:58,2024-03-12 14:22:58,Exchange to EUR,-218.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-03-14 08:57:09,2024-03-14 08:57:09,Exchange to SEK,1500.00,0.00,SEK,COMPLETED,1500.00
TRANSFER,Current,2024-03-14 08:58:35,2024-03-14 08:58:35,Transfer to Revolut user,-900.00,0.00,SEK,COMPLETED,600.00
